model_id,image_id,acquisition_date,N_valid,reference_crop_fraction,predicted_crop_fraction,signed_error,crop_FP,crop_FN,true_soil_pred_soil,true_soil_pred_crop,true_soil_pred_weed,true_soil_pred_dicot,true_soil_pred_grass,true_crop_pred_soil,true_crop_pred_crop,true_crop_pred_weed,true_crop_pred_dicot,true_crop_pred_grass,true_weed_pred_soil,true_weed_pred_crop,true_weed_pred_weed,true_weed_pred_dicot,true_weed_pred_grass,true_dicot_pred_soil,true_dicot_pred_crop,true_dicot_pred_weed,true_dicot_pred_dicot,true_dicot_pred_grass,true_grass_pred_soil,true_grass_pred_crop,true_grass_pred_weed,true_grass_pred_dicot,true_grass_pred_grass
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,2016-05-23,1251936,0.05600685658052808,0.043006192009815196,-0.013000664570712882,1696,17972,1067145,1696,280,0,7381,6685,52145,552,0,10735,0,0,0,0,0,11789,0,192,0,1228,48420,0,0,0,43688
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,2016-05-23,1251936,0.04947377501725328,0.02727535592873757,-0.02219841908851571,1530,29321,1152324,1530,323,0,4460,11586,32617,2818,0,14917,0,0,0,0,0,0,0,0,0,0,21067,0,0,0,10294
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,2016-05-23,1251936,0.011623597372389643,0.010308833678398896,-0.0013147636939907469,1437,3083,1224781,1436,22,0,188,2611,11469,259,0,213,0,0,0,0,0,0,0,0,0,0,10354,1,0,0,602
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,2016-05-23,1251936,0.018276493367073078,0.012622849730337653,-0.005653643636735425,815,7893,1204474,809,37,0,785,3798,14988,566,0,3529,0,0,0,0,0,254,0,0,0,4,19582,6,0,0,3104
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame35,2016-05-23,1251936,0.02303552258262403,0.022081799708611304,-0.0009537228740127274,2720,3914,1196520,505,0,0,539,2934,24925,0,0,980,0,0,0,0,0,0,0,0,0,0,18159,2215,0,0,5159
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame44,2016-05-23,1251936,0.02813322725762339,0.02589988625616645,-0.002233341001456942,1835,4631,1093072,1738,558,0,20826,2093,30590,100,0,2438,0,0,0,0,0,2300,0,535,0,1197,21581,97,0,0,74811
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame47,2016-05-23,1251936,0.02487667101193671,0.02222318073767349,-0.002653490274263221,1932,5254,1194457,1932,61,0,2386,3062,25890,0,0,2192,0,0,0,0,0,165,0,51,0,0,13412,0,0,0,8328
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame50,2016-05-23,1251936,0.004718292308872019,0.003234190885157069,-0.00148410142371495,31,1889,1245069,31,234,0,40,1889,4018,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,32,0,0
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame52,2016-05-23,1251936,0.022215991871788972,0.02163049868363878,-0.0005854931881501928,1982,2715,1221040,1982,181,0,51,2715,25098,0,0,0,0,0,0,0,0,628,0,216,0,25,0,0,0,0,0
M1,2016-05-23__bonirob_2016-05-23-10-37-10_0_frame55,2016-05-23,1251936,0.014465595685402448,0.012523004370830457,-0.0019425913145719904,405,2837,1232552,405,59,0,0,2794,15273,43,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0,0,52
