image_id,acquisition_date,sequence_id,frame_index,n_valid_pixels,reference_crop_fraction,hard_crop_fraction,soft_crop_fraction,hard_signed_error,hard_absolute_error,hard_squared_error,soft_signed_error,soft_absolute_error,soft_squared_error
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,2016-05-23,bonirob_2016-05-23-10-37-10_0,23,1251936,0.05600685658052808,0.05925143138307389,0.056919081759741176,0.0032445748025458146,0.0032445748025458146,1.0527265649315213e-05,0.0009122251792130984,0.0009122251792130984,8.321547775903695e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,2016-05-23,bonirob_2016-05-23-10-37-10_0,28,1251936,0.04947377501725328,0.05012396799836413,0.04790296471531515,0.0006501929811108531,0.0006501929811108531,4.227509126858182e-07,-0.001570810301938133,0.001570810301938133,2.467445004674969e-06
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,2016-05-23,bonirob_2016-05-23-10-37-10_0,30,1251936,0.011623597372389643,0.01261086828719679,0.012526554448991275,0.0009872709148071469,0.0009872709148071469,9.747038592241407e-07,0.0009029570766016324,0.0009029570766016324,8.153314821849663e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,2016-05-23,bonirob_2016-05-23-10-37-10_0,31,1251936,0.018276493367073078,0.01927574572502109,0.018765921486435976,0.0009992523579480106,0.0009992523579480106,9.985052748646592e-07,0.0004894281193628981,0.0004894281193628981,2.3953988402310324e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame35,2016-05-23,bonirob_2016-05-23-10-37-10_0,35,1251936,0.02303552258262403,0.028987104772128926,0.027561427450419413,0.005951582189504895,0.005951582189504895,3.5421330558431876e-05,0.004525904867795381,0.004525904867795381,2.048381487233393e-05
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame44,2016-05-23,bonirob_2016-05-23-10-37-10_0,44,1251936,0.02813322725762339,0.03350970017636684,0.032431735940603064,0.00537647291874345,0.00537647291874345,2.8906461045981707e-05,0.004298508682979672,0.004298508682979672,1.8477176897651637e-05
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame47,2016-05-23,bonirob_2016-05-23-10-37-10_0,47,1251936,0.02487667101193671,0.026471001712547605,0.02592189975089111,0.0015943307006108937,0.0015943307006108937,2.541890382910423e-06,0.0010452287389543999,0.0010452287389543999,1.092503116736205e-06
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame50,2016-05-23,bonirob_2016-05-23-10-37-10_0,50,1251936,0.004718292308872019,0.004116025100324617,0.004079535462315796,-0.0006022672085474017,0.0006022672085474017,3.627257904914794e-07,-0.0006387568465562226,0.0006387568465562226,4.080103090224497e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame52,2016-05-23,bonirob_2016-05-23-10-37-10_0,52,1251936,0.022215991871788972,0.02195799146282238,0.021824301903503165,-0.00025800040896659104,0.00025800040896659104,6.656421102692823e-08,-0.0003916899682858063,0.0003916899682858063,1.5342103125573596e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame55,2016-05-23,bonirob_2016-05-23-10-37-10_0,55,1251936,0.014465595685402448,0.01397355775375099,0.013656390769109954,-0.0004920379316514581,0.0004920379316514581,2.421013261838449e-07,-0.0008092049162924941,0.0008092049162924941,6.548125965519425e-07
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame60,2016-05-23,bonirob_2016-05-23-10-37-10_0,60,1251936,0.026052449965493444,0.026861596758939753,0.02627003885413902,0.0008091467934463088,0.0008091467934463088,6.547185333444436e-07,0.000217588888645575,0.000217588888645575,4.734492446201643e-08
