acquisition_date,generalization_role,eligible_image_count,training_overlap_excluded_count,n_sequences,n_resampling_units,bootstrap_strategy,primary_block_length,date_specific_generalization_claim_supported,mean_reference_crop_fraction,crop_iou,hard_crop_bias,hard_crop_mae,hard_crop_rmse,soft_crop_bias,soft_crop_mae,soft_crop_rmse,mean_reference_total_vegetation_fraction,mean_hard_total_vegetation_fraction,mean_soft_total_vegetation_fraction,mean_canopeo_total_vegetation_fraction,hard_total_vegetation_mae,soft_total_vegetation_mae,canopeo_total_vegetation_mae
2016-04-29,cross_date,20,0,0,20,image_bootstrap_fallback,,false,0.0008417762569332618,0.16288640508815413,-0.0006904506300641566,0.0006904506300641566,0.0008130046969298679,-0.0006010096064338929,0.0006010096064338929,0.0006929405798060084,0.00085747194744779291,0.000730588464586049,0.0018676719404011346,0.00094525598752651899,0.00013958381259105898,0.0010101999929533418,0.00030352989290187356
2016-05-02,cross_date,20,0,1,11,moving_block,10,true,0.00077667708253457046,0.126938482078669,-0.000676871661171178,0.000676871661171178,0.0007018616716996672,-0.0006311161652563311,0.0006311161652563311,0.0006482679059586521,0.00094912998747539795,0.00065598401196227283,0.0011979205406879208,0.0016615465966311378,0.00029314597551312517,0.00028495622759972374,0.0007124166091557395
2016-05-04,cross_date,20,0,1,11,moving_block,10,true,0.0010750549548858728,0.3166528164179644,-0.0006947240114510646,0.000707663970043197,0.0007574168257508407,-0.0006412260643367878,0.0006493106925872891,0.000683730760606652,0.0012615660864453136,0.00080978580374715633,0.002262604294934066,0.0019001370677095314,0.00045178028269815713,0.0010010382084887522,0.000638570981264218
2016-05-06,cross_date,20,0,1,11,moving_block,10,true,0.0021858944866191246,0.7044918506002041,-0.000504219065511336,0.000504219065511336,0.0005892080459791417,-0.0006662782457645861,0.0006662782457645861,0.0006997397087326619,0.0023559910410755822,0.0020458713544462331,0.0037732574755678177,0.002218883393400302,0.0003445463665874294,0.0014172664344922355,0.0003101995629169542
2016-05-09,cross_date,20,0,1,11,moving_block,10,true,0.0050577665311964835,0.8175588519832312,-0.00021107308999821078,0.00030237168673159006,0.000446352990543423,-0.0005183674113156417,0.0005309941747848051,0.0006313562132659434,0.0066387578917772149,0.0060355321677785451,0.007418547880067225,0.0047301139994376708,0.0006302239092094165,0.000779789988290009,0.0019086438923395445
2016-05-11,cross_date,20,0,1,11,moving_block,10,true,0.0085936102164966902,0.846479878647274,-0.0006580208572962195,0.0006592190016103058,0.0008498672217275923,-0.0009290711980853095,0.0009326685576157357,0.0010327188303612084,0.0090907202924111145,0.0086266789995654743,0.010151523028340239,0.0094683753802111293,0.0005354506939651869,0.0010608027359291273,0.0005748696418986274
2016-05-13,cross_date,20,0,1,11,moving_block,10,true,0.011264114140019935,0.8708103834144119,-0.0002270882856631649,0.00048428993175369996,0.0014342301143268421,-0.0004887815948628429,0.0005468033930425343,0.0015335945915201147,0.01270356471896327,0.012215720292411114,0.013235704233319087,0.0086779196380645657,0.0006340979091582955,0.0006241563935029257,0.004025645080898704
2016-05-18,cross_date,20,0,1,11,moving_block,10,true,0.034337697773688114,0.9265275721212365,0.00022656908979372896,0.0004823329627073594,0.0006124352813466552,8.086523338331104e-05,0.000532289052581451,0.0006437787472010186,0.036077603008460503,0.036105200265828294,0.036827585902101785,0.028619514096567239,0.00042306475730388774,0.0008450629502296213,0.0074580889118932596
2016-05-23,in_domain_reference,5,0,1,5,image_bootstrap_fallback,,false,0.031943326176417965,0.8659295472198109,0.0013556603532448937,0.0013556603532448937,0.0016569763975149683,0.00026635707216627854,0.0008946811929415318,0.0009707788164818773,0.062997309766633452,0.051623405669299391,0.057785425869337236,0.029202770748664463,0.01137390409733405,0.0052118838972962005,0.03379453901796897
2016-05-27,cross_date,20,0,1,11,moving_block,10,true,0.067138895278991903,0.9341182609647861,0.003982352133016386,0.004010788091404034,0.0047925759616837035,0.003860148371653305,0.0038974943492087397,0.004714293791688684,0.068020489865296629,0.071952999194847017,0.073943421287236868,0.05095987334815838,0.004005356503846843,0.005922931421940236,0.01706061651713826
