model_id,image_id,acquisition_date,N_valid,reference_crop_fraction,predicted_crop_fraction,signed_error,crop_FP,crop_FN,true_soil_pred_soil,true_soil_pred_crop,true_soil_pred_weed,true_soil_pred_dicot,true_soil_pred_grass,true_crop_pred_soil,true_crop_pred_crop,true_crop_pred_weed,true_crop_pred_dicot,true_crop_pred_grass,true_weed_pred_soil,true_weed_pred_crop,true_weed_pred_weed,true_weed_pred_dicot,true_weed_pred_grass,true_dicot_pred_soil,true_dicot_pred_crop,true_dicot_pred_weed,true_dicot_pred_dicot,true_dicot_pred_grass,true_grass_pred_soil,true_grass_pred_crop,true_grass_pred_weed,true_grass_pred_dicot,true_grass_pred_grass
M1,2016-04-29__1461926009_604845562,2016-04-29,1251936,0.0008227257623392889,0.0,-0.0008227257623392889,0,1030,1250761,0,145,0,0,395,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926010_604880009,2016-04-29,1251936,0.002239731104465404,0.0,-0.002239731104465404,0,2804,1248929,0,113,0,0,1652,0,1008,0,144,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926011_604916128,2016-04-29,1251936,0.001242076272269509,0.0,-0.001242076272269509,0,1555,1250170,0,80,0,6,783,0,678,0,94,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926012_604949024,2016-04-29,1251936,0.0007436482376095903,0.0,-0.0007436482376095903,0,931,1250882,0,120,0,3,372,0,504,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926013_604998609,2016-04-29,1251936,0.0010152276154691614,0.0,-0.0010152276154691614,0,1271,1250607,0,39,0,19,686,0,222,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926014_604941733,2016-04-29,1251936,0.0011933517368299977,0.0,-0.0011933517368299977,0,1494,1250365,0,47,0,30,595,0,556,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926015_604903443,2016-04-29,1251936,0.0004081678296654142,0.0,-0.0004081678296654142,0,511,1251423,0,2,0,0,195,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926016_604995266,2016-04-29,1251936,0.0009880696776832043,0.0,-0.0009880696776832043,0,1237,1250569,0,130,0,0,369,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926017_604989736,2016-04-29,1251936,0.0006789484446489278,0.0,-0.0006789484446489278,0,850,1250958,0,128,0,0,305,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,2016-04-29__1461926018_604951803,2016-04-29,1251936,0.0003961863865245508,0.0,-0.0003961863865245508,0,496,1251392,0,48,0,0,218,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
